duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge,problem_pass_rate,attempt_number,user_ac_rate,user_total_submissions,ac
1776.072,195,6.587570774157805,0.039,0.567,7.25920000000001,43.65729999999996,184.48147999999773,9.513470588235297,49.76480526283676,12,6,0,0.0,0,0,0,4,0.0205128205128205,157,0,38,0.1958762886597938,13,15.0,15.0,23.12175133106021,34,0.1743589743589743,992050,AC,0.771,1,0.549,175,1
1022.063,452,26.53456782996743,0.4685,1.08,3.2309000000000023,6.401499999999999,23.85951000000004,2.4340758293838864,12.711033481943318,4,2,0,0.0,0,0,0,37,0.081858407079646,10,46,61,0.1352549889135255,5,90.4,90.4,145.6455972558045,339,0.75,992119,TLE,0.147,3,0.391,745,0
330.001,244,44.36350192878204,0.351,1.0525,2.417000000000001,3.4325999999999977,6.927740000000015,1.470837004405286,8.87982979332681,1,1,0,0.0,0,0,0,17,0.0696721311475409,1,33,26,0.1069958847736625,2,122.0,122.0,19.0,185,0.7581967213114754,992147,TLE,0.765,1,0.492,183,0
1490.848,612,24.63027753332332,1.05,2.15,4.818000000000002,8.022799999999995,25.347120000000064,2.5212344013490724,7.378834683222287,3,2,0,0.0,0,0,0,30,0.0490196078431372,1,108,55,0.0900163666121112,4,153.0,153.0,171.41324336234933,453,0.7401960784313726,992198,WA,0.307,2,0.286,315,0
461.258,133,17.30051294503293,1.437,2.949,9.7148,13.901899999999996,40.97324000000002,3.760008130081301,8.142710010617293,2,1,0,0.0,0,0,0,11,0.0827067669172932,6,27,27,0.2045454545454545,3,44.333333333333336,44.333333333333336,53.50597059103674,81,0.6090225563909775,992259,WA,0.307,8,0.28,321,0
1724.012,503,17.505678614766023,0.4475,1.20875,3.568900000000011,11.455299999999898,64.09862999999918,3.769367391304348,18.63940022179005,14,5,0,0.0,0,0,0,46,0.0914512922465208,17,64,64,0.1274900398406374,15,33.53333333333333,33.53333333333333,32.751318887777465,360,0.7157057654075547,992373,WA,0.765,3,0.381,197,0
576.945,319,33.17473935990432,0.263,0.87625,2.067,4.563899999999999,36.95968000000008,1.8792142857142855,9.524115780933528,4,2,0,0.0,0,0,0,14,0.0438871473354232,2,106,26,0.0817610062893081,5,63.8,63.8,63.24365580831014,174,0.5454545454545454,992455,AC,0.765,1,0.398,382,1
320.505,284,53.16609725277297,0.444,0.889,1.6366000000000007,4.286199999999995,20.28179999999997,1.2081189591078068,3.1439736395319504,0,0,0,0.0,0,0,0,14,0.0492957746478873,0,34,19,0.0671378091872791,1,284.0,284.0,0.0,226,0.795774647887324,992464,WA,0.675,1,0.368,190,0
1198.842,727,36.38511163272558,0.396,0.984,3.0399,5.310449999999988,27.736049999999477,1.7765703812316718,7.517061035707236,7,3,0,0.0,0,0,0,30,0.0412654745529573,7,158,63,0.0867768595041322,8,90.875,90.875,104.5627054690151,504,0.6932599724896836,992485,WA,0.568,1,0.482,191,0
1360.212,625,27.569231855034364,0.456,1.156,3.387,12.6885,42.4729,2.3996707530647985,7.3533400114621985,10,2,0,0.0,0,0,0,29,0.0464,20,103,75,0.1201923076923077,11,56.81818181818182,56.81818181818182,63.08986113879469,436,0.6976,992531,AC,0.760,1,0.356,317,1
1480.019,1003,40.66164015461964,0.31,0.833,2.008400000000001,4.215899999999994,25.858429999999927,1.5734757894736842,7.842913169623641,9,5,0,0.0,0,0,0,36,0.0358923230309072,17,352,62,0.06187624750499,10,100.3,100.3,163.47112894942643,572,0.5702891326021934,992625,WA,0.307,1,0.401,192,0
291.453,132,27.17419275148995,0.388,1.06,5.371,11.189,21.32339999999999,2.4293388429752065,8.359315924158876,1,1,4,0.0303030303030303,1,4,1,9,0.0681818181818181,0,25,19,0.1450381679389313,2,66.0,66.0,51.0,78,0.5909090909090909,992683,AC,0.597,2,0.404,297,1
