n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
99,0.2222222222222222,0.36363636363636365,0.5833333333333334,0.9545454545454546,0.7241379310344828,15,0.19480519480519481,21,62,15,1,human_complete,idle_s,20,8,test,0.5568426724137933,0.8433333333333333,
281,0.24199288256227758,0.2918149466192171,0.6219512195121951,0.75,0.6799999999999999,31,0.14553990610328638,51,182,31,17,human_complete,idle_s,25,8,dev,,,
99,0.2222222222222222,0.35353535353535354,0.5714285714285714,0.9090909090909091,0.7017543859649122,15,0.19480519480519481,20,62,15,2,human_complete,idle_s,25,8,test,0.5517241379310346,0.8165824915824915,
281,0.24199288256227758,0.28113879003558717,0.620253164556962,0.7205882352941176,0.6666666666666666,30,0.14084507042253522,49,183,30,19,human_complete,idle_s,27,8,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,idle_s,27,8,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,idle_s,30,8,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,idle_s,30,8,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.2491103202846975,0.6285714285714286,0.6470588235294118,0.6376811594202899,26,0.12206572769953052,44,187,26,24,human_complete,idle_s,33,8,dev,,,
99,0.2222222222222222,0.32323232323232326,0.5625,0.8181818181818182,0.6666666666666666,14,0.18181818181818182,18,63,14,4,human_complete,idle_s,33,8,test,0.5,0.7692307692307693,
281,0.24199288256227758,0.2491103202846975,0.6285714285714286,0.6470588235294118,0.6376811594202899,26,0.12206572769953052,44,187,26,24,human_complete,idle_s,35,8,dev,,,
99,0.2222222222222222,0.31313131313131315,0.5806451612903226,0.8181818181818182,0.679245283018868,13,0.16883116883116883,18,64,13,4,human_complete,idle_s,35,8,test,0.5185185185185185,0.7894736842105262,
281,0.24199288256227758,0.20284697508896798,0.631578947368421,0.5294117647058824,0.576,21,0.09859154929577464,36,192,21,32,human_complete,idle_s,45,8,dev,,,
99,0.2222222222222222,0.2828282828282828,0.6071428571428571,0.7727272727272727,0.68,11,0.14285714285714285,17,66,11,5,human_complete,idle_s,45,8,test,0.5217391304347826,0.7862128146453087,
281,0.24199288256227758,0.16370106761565836,0.6521739130434783,0.4411764705882353,0.5263157894736842,16,0.07511737089201878,30,197,16,38,human_complete,idle_s,60,8,dev,,,
99,0.2222222222222222,0.2222222222222222,0.7272727272727273,0.7272727272727273,0.7272727272727273,6,0.07792207792207792,16,71,6,6,human_complete,idle_s,60,8,test,0.6,0.8256592292089249,
281,0.24199288256227758,0.099644128113879,0.5714285714285714,0.23529411764705882,0.3333333333333333,12,0.056338028169014086,16,201,12,52,human_complete,idle_s,90,8,dev,,,
99,0.2222222222222222,0.16161616161616163,0.6875,0.5,0.5789473684210527,5,0.06493506493506493,11,72,5,11,human_complete,idle_s,90,8,test,0.3529411764705882,0.7030154277699856,
281,0.24199288256227758,0.06761565836298933,0.5789473684210527,0.16176470588235295,0.25287356321839083,8,0.03755868544600939,11,205,8,57,human_complete,idle_s,120,8,dev,,,
99,0.2222222222222222,0.1414141414141414,0.7142857142857143,0.45454545454545453,0.5555555555555556,4,0.05194805194805195,10,73,4,12,human_complete,idle_s,120,8,test,0.30769230769230765,0.6923076923076923,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,1,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,1,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,2,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,2,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,3,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,3,test,0.5312745098039217,0.7901162790697673,
281,0.24199288256227758,0.26334519572953735,0.6216216216216216,0.6764705882352942,0.6478873239436619,28,0.13145539906103287,46,185,28,22,human_complete,keys_30s_limit,30,4,dev,,,
99,0.2222222222222222,0.3434343434343434,0.5588235294117647,0.8636363636363636,0.6785714285714287,15,0.19480519480519481,19,62,15,3,human_complete,keys_30s_limit,30,4,test,0.5312745098039217,0.7901162790697673,
